date,adult,medical,violence
2020-10-16,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2017-10-05,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2015-03-20,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2015-02-07,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-02-15,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-03-27,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-07-06,UNLIKELY,UNLIKELY,UNLIKELY
2024-04-02,UNLIKELY,UNLIKELY,POSSIBLE
2023-11-12,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2018-12-29,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-09-10,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-10,UNLIKELY,UNLIKELY,POSSIBLE
2024-05-01,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-08,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2023-05-18,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-30,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-06-15,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-01-10,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2020-05-04,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-07-08,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2016-09-09,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2024-07-05,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2018-04-21,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2021-03-19,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-07,UNLIKELY,VERY_LIKELY,LIKELY
2024-07-07,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2022-10-14,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-07,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2023-01-10,LIKELY,POSSIBLE,UNLIKELY
2017-10-13,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2021-12-09,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-06,VERY_UNLIKELY,POSSIBLE,LIKELY
2024-07-08,UNLIKELY,UNLIKELY,UNLIKELY
2023-07-23,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-05-15,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-10,UNLIKELY,VERY_LIKELY,VERY_LIKELY
