year_month,ita_name,responses
2013-08,BS実況(無料),11934.032258064517
2013-08,ニュース速報,34405.32258064516
2013-08,ニュース速報+,59775.25806451613
2013-08,ニュー速VIP,236247.93548387097
2013-08,番組ch(NHK),44789.93548387097
2013-08,番組ch(TBS),28937.516129032258
2013-08,番組ch(フジ),32108.935483870966
2013-08,番組ch(朝日),28769.774193548386
2013-08,芸スポ速報+,30253.612903225807
2013-09,BS実況(無料),14557.733333333334
2013-09,ニュース速報,53341.03333333333
2013-09,ニュース速報+,82864.06896551725
2013-09,ニュー速VIP,389798.36666666664
2013-09,番組ch(NHK),57139.23333333333
2013-09,番組ch(TBS),37532.73333333333
2013-09,番組ch(フジ),37435.666666666664
2013-09,番組ch(朝日),41027.566666666666
2013-09,芸スポ速報+,43198.933333333334
2013-10,BS実況(無料),14836.677419354839
2013-10,ニュース速報,50575.54838709677
2013-10,ニュース速報+,89906.2258064516
2013-10,ニュー速VIP,378537.4516129032
2013-10,番組ch(NHK),47529.032258064515
2013-10,番組ch(TBS),34550.87096774193
2013-10,番組ch(フジ),44597.645161290326
2013-10,番組ch(朝日),37535.51612903226
2013-10,芸スポ速報+,43077.2
2013-11,BS実況(無料),14652.766666666666
2013-11,ニュース速報,49198.1
2013-11,ニュース速報+,92283.33333333333
2013-11,ニュー速VIP,354397.26666666666
2013-11,番組ch(NHK),46700.1
2013-11,番組ch(TBS),30468.466666666667
2013-11,番組ch(フジ),39919.333333333336
2013-11,番組ch(朝日),42247.76666666667
2013-11,芸スポ速報+,38561.26666666667
2013-12,BS実況(無料),13269.645161290322
2013-12,ニュース速報,25381.322580645163
2013-12,ニュース速報+,88135.48387096774
2013-12,ニュー速VIP,241868.1935483871
2013-12,番組ch(NHK),46879.6129032258
2013-12,番組ch(TBS),26976.74193548387
2013-12,番組ch(フジ),36225.967741935485
2013-12,番組ch(朝日),33762.45161290323
2013-12,芸スポ速報+,28973.0
2014-01,BS実況(無料),15538.290322580646
2014-01,ニュース速報,30583.548387096773
2014-01,ニュース速報+,92316.0
2014-01,ニュー速VIP,265548.77419354836
2014-01,番組ch(NHK),46515.645161290326
2014-01,番組ch(TBS),26755.322580645163
2014-01,番組ch(フジ),34387.87096774193
2014-01,番組ch(朝日),41255.93548387097
2014-01,芸スポ速報+,32261.0
2014-02,BS実況(無料),15203.107142857143
2014-02,ニュース速報,37221.92857142857
2014-02,ニュース速報+,92113.57142857143
2014-02,ニュー速VIP,283428.4285714286
2014-02,番組ch(NHK),75812.78571428571
2014-02,番組ch(TBS),26775.821428571428
2014-02,番組ch(フジ),33394.17857142857
2014-02,番組ch(朝日),36274.107142857145
2014-02,芸スポ速報+,39249.46428571428
2014-03,BS実況(無料),15535.032258064517
2014-03,ニュース速報,33622.74193548387
2014-03,ニュース速報+,84568.96774193548
2014-03,ニュー速VIP,304056.8387096774
2014-03,番組ch(NHK),46880.096774193546
2014-03,番組ch(TBS),26519.774193548386
2014-03,番組ch(フジ),45455.45161290323
2014-03,番組ch(朝日),37143.32258064516
2014-03,芸スポ速報+,30910.032258064515
2014-04,BS実況(無料),16636.766666666666
2014-04,ニュース速報,25002.866666666665
2014-04,ニュース速報+,76954.86666666667
2014-04,ニュー速VIP,247099.5
2014-04,番組ch(NHK),47132.76666666667
2014-04,番組ch(TBS),27417.433333333334
2014-04,番組ch(フジ),37686.666666666664
2014-04,番組ch(朝日),35526.566666666666
2014-04,芸スポ速報+,29623.566666666666
2014-05,BS実況(無料),16512.34375
2014-05,ニュース速報,28783.40625
2014-05,ニュース速報+,81962.40625
2014-05,ニュー速VIP,256420.65625
2014-05,番組ch(NHK),47204.0
2014-05,番組ch(TBS),26044.78125
2014-05,番組ch(フジ),32420.6875
2014-05,番組ch(朝日),37967.625
2014-05,芸スポ速報+,40465.0
2014-06,BS実況(無料),17454.866666666665
2014-06,ニュース速報,30102.666666666668
2014-06,ニュース速報+,86409.93333333333
2014-06,ニュー速VIP,257545.26666666666
2014-06,番組ch(NHK),66755.16666666667
2014-06,番組ch(TBS),30182.2
2014-06,番組ch(フジ),40292.86666666667
2014-06,番組ch(朝日),40827.833333333336
2014-06,芸スポ速報+,60786.833333333336
2014-07,BS実況(無料),16558.064516129034
2014-07,ニュース速報,32164.59259259259
2014-07,ニュース速報+,94615.58064516129
2014-07,ニュー速VIP,258823.4814814815
2014-07,番組ch(NHK),53586.53571428572
2014-07,番組ch(TBS),31402.37037037037
2014-07,番組ch(フジ),38274.607142857145
2014-07,番組ch(朝日),31660.58620689655
2014-07,芸スポ速報+,50677.77777777778
2014-08,BS実況(無料),16843.0
2014-08,ニュース速報,22642.814814814814
2014-08,ニュース速報+,97942.7741935484
2014-08,ニュー速VIP,186043.4
2014-08,番組ch(NHK),38942.96296296296
2014-08,番組ch(TBS),20053.037037037036
2014-08,番組ch(フジ),24924.714285714286
2014-08,番組ch(朝日),24026.25
2014-08,芸スポ速報+,40186.708333333336
2014-09,BS実況(無料),16887.0
2014-09,ニュース速報,31858.633333333335
2014-09,ニュース速報+,94164.46666666666
2014-09,ニュー速VIP,246851.33333333334
2014-09,番組ch(NHK),52567.0
2014-09,番組ch(TBS),30511.633333333335
2014-09,番組ch(フジ),35312.73333333333
2014-09,番組ch(朝日),39673.76666666667
2014-09,芸スポ速報+,52378.76666666667
2014-10,BS実況(無料),16849.612903225807
2014-10,ニュース速報,29076.83870967742
2014-10,ニュース速報+,96651.0
2014-10,ニュー速VIP,234660.29032258064
2014-10,番組ch(NHK),48927.48387096774
2014-10,番組ch(TBS),34099.25806451613
2014-10,番組ch(フジ),38837.16129032258
2014-10,番組ch(朝日),35510.16129032258
2014-10,芸スポ速報+,51311.032258064515
2014-11,BS実況(無料),18679.133333333335
2014-11,ニュース速報,26161.1
2014-11,ニュース速報+,88825.26666666666
2014-11,ニュー速VIP,236830.13333333333
2014-11,番組ch(NHK),51417.566666666666
2014-11,番組ch(TBS),27488.933333333334
2014-11,番組ch(フジ),37613.2
2014-11,番組ch(朝日),40325.23333333333
2014-11,芸スポ速報+,48182.066666666666
2014-12,BS実況(無料),15921.75
2014-12,ニュース速報,25729.666666666668
2014-12,ニュース速報+,83936.64516129032
2014-12,ニュー速VIP,193292.66666666666
